latitude,longitude,generation_time
26.912223,112.620896,2019-05-23T07:00:07.000+08:00
26.912226,112.620882,2019-05-23T07:00:17.000+08:00
26.911905,112.620539,2019-05-23T07:00:27.000+08:00
26.911496,112.619851,2019-05-23T07:00:37.000+08:00
26.911351,112.619281,2019-05-23T07:00:47.000+08:00
26.911196,112.618762,2019-05-23T07:00:57.000+08:00
26.911138,112.618709,2019-05-23T07:01:07.000+08:00
26.911108,112.618679,2019-05-23T07:01:17.000+08:00
26.910751,112.618511,2019-05-23T07:01:26.000+08:00
26.910101,112.618282,2019-05-23T07:01:34.000+08:00
26.909296,112.618072,2019-05-23T07:01:44.000+08:00
26.909241,112.618066,2019-05-23T07:01:45.000+08:00
26.909188,112.618076,2019-05-23T07:01:55.000+08:00
26.909171,112.618061,2019-05-23T07:02:06.000+08:00
26.908968,112.618007,2019-05-23T07:02:16.000+08:00
26.908341,112.617784,2019-05-23T07:02:26.000+08:00
26.907915,112.617564,2019-05-23T07:02:36.000+08:00
26.907801,112.617437,2019-05-23T07:02:43.000+08:00
26.907561,112.617036,2019-05-23T07:02:49.000+08:00
26.907275,112.615993,2019-05-23T07:02:59.000+08:00
26.907365,112.615645,2019-05-23T07:03:04.000+08:00
26.90757,112.614865,2019-05-23T07:03:14.000+08:00
26.907383,112.614551,2019-05-23T07:03:18.000+08:00
26.907021,112.614338,2019-05-23T07:03:22.000+08:00
26.906336,112.614538,2019-05-23T07:03:32.000+08:00
26.90628,112.61476,2019-05-23T07:03:33.000+08:00
26.905681,112.615451,2019-05-23T07:03:42.000+08:00
26.904793,112.615875,2019-05-23T07:03:52.000+08:00
26.904301,112.616028,2019-05-23T07:04:02.000+08:00
26.904221,112.616053,2019-05-23T07:04:12.000+08:00
26.903405,112.616433,2019-05-23T07:04:22.000+08:00
26.90271,112.616689,2019-05-23T07:04:32.000+08:00
26.902523,112.616761,2019-05-23T07:04:42.000+08:00
26.902523,112.616759,2019-05-23T07:04:52.000+08:00
26.902523,112.616761,2019-05-23T07:05:02.000+08:00
26.902523,112.616759,2019-05-23T07:05:12.000+08:00
26.902521,112.616759,2019-05-23T07:05:22.000+08:00
26.902461,112.616777,2019-05-23T07:05:32.000+08:00
26.90179,112.617104,2019-05-23T07:05:43.000+08:00
26.90135,112.617322,2019-05-23T07:05:53.000+08:00
26.901046,112.617534,2019-05-23T07:06:03.000+08:00
26.900413,112.618096,2019-05-23T07:06:13.000+08:00
26.899583,112.618647,2019-05-23T07:06:23.000+08:00
26.898756,112.619116,2019-05-23T07:06:33.000+08:00
26.898613,112.619211,2019-05-23T07:06:35.000+08:00
26.898449,112.619292,2019-05-23T07:06:45.000+08:00
26.898154,112.619524,2019-05-23T07:06:53.000+08:00
26.897673,112.619992,2019-05-23T07:07:03.000+08:00
26.896996,112.620431,2019-05-23T07:07:13.000+08:00
26.896789,112.620562,2019-05-23T07:07:23.000+08:00
26.896584,112.620707,2019-05-23T07:07:33.000+08:00
26.895999,112.621124,2019-05-23T07:07:43.000+08:00
26.895533,112.621252,2019-05-23T07:07:51.000+08:00
26.895374,112.621174,2019-05-23T07:07:58.000+08:00
26.895204,112.620629,2019-05-23T07:08:06.000+08:00
26.895198,112.620467,2019-05-23T07:08:09.000+08:00
26.895168,112.620079,2019-05-23T07:08:19.000+08:00
26.895149,112.619994,2019-05-23T07:08:29.000+08:00
26.895116,112.619552,2019-05-23T07:08:39.000+08:00
26.895038,112.619322,2019-05-23T07:08:44.000+08:00
26.894793,112.618771,2019-05-23T07:08:53.000+08:00
26.894676,112.618217,2019-05-23T07:09:03.000+08:00
26.894513,112.617569,2019-05-23T07:09:13.000+08:00
26.894489,112.617199,2019-05-23T07:09:23.000+08:00
26.894461,112.616892,2019-05-23T07:09:33.000+08:00
26.894318,112.616383,2019-05-23T07:09:42.000+08:00
26.894099,112.616323,2019-05-23T07:09:46.000+08:00
26.893479,112.61631,2019-05-23T07:09:56.000+08:00
26.892679,112.616461,2019-05-23T07:10:06.000+08:00
26.892199,112.616643,2019-05-23T07:10:15.000+08:00
26.892168,112.616747,2019-05-23T07:10:18.000+08:00
26.892106,112.616977,2019-05-23T07:10:28.000+08:00
26.892056,112.617041,2019-05-23T07:10:31.000+08:00
26.892031,112.617159,2019-05-23T07:10:33.000+08:00
26.891988,112.617586,2019-05-23T07:10:43.000+08:00
26.891919,112.617782,2019-05-23T07:10:53.000+08:00
26.891838,112.617969,2019-05-23T07:11:03.000+08:00
26.891798,112.618699,2019-05-23T07:11:13.000+08:00
26.891831,112.618852,2019-05-23T07:11:23.000+08:00
26.891754,112.619004,2019-05-23T07:11:32.000+08:00
26.891389,112.619836,2019-05-23T07:11:42.000+08:00
26.890983,112.620444,2019-05-23T07:11:51.000+08:00
26.890693,112.620502,2019-05-23T07:11:56.000+08:00
26.890443,112.620374,2019-05-23T07:12:00.000+08:00
26.889663,112.619884,2019-05-23T07:12:10.000+08:00
26.888864,112.619351,2019-05-23T07:12:20.000+08:00
26.888111,112.618807,2019-05-23T07:12:30.000+08:00
26.887651,112.618291,2019-05-23T07:12:38.000+08:00
26.887548,112.617909,2019-05-23T07:12:43.000+08:00
26.887454,112.616831,2019-05-23T07:12:53.000+08:00
26.887351,112.615525,2019-05-23T07:13:03.000+08:00
26.887244,112.614106,2019-05-23T07:13:13.000+08:00
26.887146,112.612753,2019-05-23T07:13:23.000+08:00
26.887139,112.611475,2019-05-23T07:13:33.000+08:00
26.887311,112.610273,2019-05-23T07:13:43.000+08:00
26.887429,112.60935,2019-05-23T07:13:53.000+08:00
26.887416,112.608471,2019-05-23T07:14:04.000+08:00
26.887453,112.60823,2019-05-23T07:14:10.000+08:00
26.887574,112.60814,2019-05-23T07:14:13.000+08:00
26.888373,112.607873,2019-05-23T07:14:23.000+08:00
26.888979,112.607663,2019-05-23T07:14:33.000+08:00
26.889041,112.607621,2019-05-23T07:14:43.000+08:00
26.889799,112.607348,2019-05-23T07:14:53.000+08:00
26.890636,112.607068,2019-05-23T07:15:03.000+08:00
26.891429,112.606828,2019-05-23T07:15:13.000+08:00
26.891554,112.60678,2019-05-23T07:15:23.000+08:00
26.892436,112.606658,2019-05-23T07:15:33.000+08:00
26.893046,112.606376,2019-05-23T07:15:43.000+08:00
26.893244,112.606323,2019-05-23T07:15:46.000+08:00
26.893468,112.606258,2019-05-23T07:15:56.000+08:00
26.893636,112.606221,2019-05-23T07:16:06.000+08:00
26.894068,112.606118,2019-05-23T07:16:13.000+08:00
26.894524,112.605941,2019-05-23T07:16:23.000+08:00
26.895279,112.605505,2019-05-23T07:16:33.000+08:00
26.895323,112.605476,2019-05-23T07:16:43.000+08:00
26.895396,112.605506,2019-05-23T07:16:52.000+08:00
26.895561,112.60552,2019-05-23T07:16:58.000+08:00
26.895708,112.605378,2019-05-23T07:17:02.000+08:00
26.895766,112.605191,2019-05-23T07:17:06.000+08:00
26.895954,112.604576,2019-05-23T07:17:16.000+08:00
26.896114,112.604126,2019-05-23T07:17:26.000+08:00
26.896134,112.604106,2019-05-23T07:17:36.000+08:00
26.896263,112.604055,2019-05-23T07:17:46.000+08:00
26.896523,112.603953,2019-05-23T07:17:56.000+08:00
26.896544,112.603945,2019-05-23T07:18:06.000+08:00
26.896548,112.603945,2019-05-23T07:18:16.000+08:00
26.896548,112.603945,2019-05-23T07:18:26.000+08:00
26.896549,112.603943,2019-05-23T07:18:36.000+08:00
26.896553,112.603945,2019-05-23T07:18:46.000+08:00
26.896549,112.603946,2019-05-23T07:18:56.000+08:00
26.896548,112.603946,2019-05-23T07:19:06.000+08:00
26.896546,112.603946,2019-05-23T07:19:16.000+08:00
26.896546,112.603946,2019-05-23T07:19:26.000+08:00
26.896546,112.603946,2019-05-23T07:19:36.000+08:00
26.896546,112.603946,2019-05-23T07:19:46.000+08:00
26.896546,112.603946,2019-05-23T07:19:56.000+08:00
26.896546,112.603946,2019-05-23T07:20:06.000+08:00
26.896546,112.603946,2019-05-23T07:20:16.000+08:00
26.896546,112.603946,2019-05-23T07:20:26.000+08:00
26.896546,112.603946,2019-05-23T07:20:36.000+08:00
26.896546,112.603946,2019-05-23T07:20:46.000+08:00
26.896546,112.603946,2019-05-23T07:20:57.000+08:00
26.896966,112.602346,2019-05-23T07:21:01.000+08:00
26.896724,112.60216,2019-05-23T07:21:11.000+08:00
26.896251,112.601746,2019-05-23T07:21:21.000+08:00
26.895728,112.601443,2019-05-23T07:21:31.000+08:00
26.895158,112.60115,2019-05-23T07:21:39.000+08:00
26.894919,112.601008,2019-05-23T07:21:49.000+08:00
26.894826,112.60096,2019-05-23T07:21:59.000+08:00
26.915501,112.624496,2019-05-23T06:57:08.000+08:00
26.915501,112.624496,2019-05-23T06:57:18.000+08:00
26.915501,112.624496,2019-05-23T06:57:28.000+08:00
26.915501,112.624496,2019-05-23T06:57:38.000+08:00
26.915501,112.624496,2019-05-23T06:57:48.000+08:00
26.915501,112.624496,2019-05-23T06:57:58.000+08:00
26.915501,112.624496,2019-05-23T06:58:08.000+08:00
26.915501,112.624496,2019-05-23T06:58:18.000+08:00
26.915501,112.624496,2019-05-23T06:58:28.000+08:00
26.915501,112.624496,2019-05-23T06:58:38.000+08:00
26.915501,112.624496,2019-05-23T06:58:48.000+08:00
26.915501,112.624496,2019-05-23T06:58:58.000+08:00
26.91344,112.623562,2019-05-23T06:59:06.000+08:00
26.913188,112.622989,2019-05-23T06:59:16.000+08:00
26.912963,112.622392,2019-05-23T06:59:26.000+08:00
26.912685,112.621857,2019-05-23T06:59:36.000+08:00
26.912376,112.621259,2019-05-23T06:59:46.000+08:00
26.912223,112.620896,2019-05-23T06:59:57.000+08:00
