latitude,longitude,generation_time_str
26.895634,112.545903,190515055342
26.895634,112.545903,190515055352
26.895634,112.545903,190515055402
26.895634,112.545903,190515055412
26.895634,112.545903,190515055422
26.895634,112.545903,190515055432
26.895634,112.545903,190515055442
26.895634,112.545903,190515055452
26.895696,112.545734,190515055502
26.895696,112.545734,190515055512
26.895696,112.545734,190515055522
26.895696,112.545734,190515055532
26.895696,112.545734,190515055542
26.895696,112.545734,190515055552
26.895696,112.545734,190515055602
26.895696,112.545734,190515055612
26.895696,112.545734,190515055622
26.895696,112.545734,190515055632
26.895696,112.545734,190515055642
26.895696,112.545734,190515055652
26.895696,112.545734,190515055702
26.895696,112.545734,190515055712
26.895696,112.545734,190515055722
26.895696,112.545734,190515055732
26.895696,112.545734,190515055742
26.895696,112.545734,190515055752
26.895696,112.545734,190515055802
26.895696,112.545734,190515055812
26.895696,112.545734,190515055822
26.895696,112.545734,190515055832
26.895696,112.545734,190515055842
26.895696,112.545734,190515055852
26.895696,112.545734,190515055902
26.895696,112.545734,190515055912
26.895696,112.545734,190515055922
26.895696,112.545734,190515055932
26.895696,112.545734,190515055942
26.895696,112.545734,190515055952
26.895696,112.545734,190515060002
26.894623,112.544506,190515060012
26.894689,112.543719,190515060022
26.894688,112.543383,190515060026
26.894664,112.542523,190515060036
26.894664,112.541729,190515060046
26.894776,112.541438,190515060051
26.894996,112.541421,190515060054
26.895741,112.541426,190515060104
26.896113,112.541436,190515060114
26.896381,112.541441,190515060124
26.896609,112.541336,190515060129
26.896696,112.541139,190515060133
26.896853,112.540446,190515060143
26.897244,112.539508,190515060153
26.897671,112.538478,190515060203
26.898028,112.537566,190515060213
26.898443,112.536548,190515060223
26.898886,112.535484,190515060233
26.899314,112.534448,190515060243
26.899788,112.533336,190515060253
26.90027,112.532157,190515060303
26.900776,112.530937,190515060313
26.90126,112.529787,190515060323
26.901688,112.528754,190515060333
26.902088,112.527807,190515060343
26.902201,112.527632,190515060353
26.902298,112.527629,190515060403
26.902453,112.527719,190515060408
26.902565,112.527811,190515060418
26.902565,112.527812,190515060428
26.902566,112.527809,190515060438
26.902566,112.527809,190515060448
26.902566,112.527811,190515060458
26.90255,112.527809,190515060508
26.902558,112.527811,190515060518
26.902565,112.527817,190515060528
26.902558,112.527837,190515060538
26.902551,112.527856,190515060548
26.902551,112.527856,190515060558
26.902551,112.527856,190515060608
26.902551,112.527856,190515060618
26.902551,112.527856,190515060628
26.902551,112.527856,190515060638
26.902551,112.527856,190515060648
26.902551,112.527856,190515060658
26.902551,112.527856,190515060708
26.902551,112.527856,190515060718
26.902551,112.527856,190515060728
26.902551,112.527856,190515060738
26.902551,112.527856,190515060748
26.902551,112.527856,190515060758
26.902551,112.527856,190515060808
26.902551,112.527856,190515060818
26.902551,112.527856,190515060828
26.902551,112.527856,190515060838
26.902551,112.527856,190515060848
26.902551,112.527856,190515060858
26.902551,112.527856,190515060909
26.902551,112.527856,190515060919
26.902551,112.527856,190515060929
26.902551,112.527856,190515060939
26.902551,112.527856,190515060949
26.902551,112.527856,190515060959
26.902551,112.527856,190515061010
26.902551,112.527856,190515061021
26.902551,112.527856,190515061031
26.902551,112.527856,190515061041
26.902551,112.527856,190515061051
26.902551,112.527856,190515061101
26.902551,112.527856,190515061111
26.902551,112.527856,190515061121
26.902551,112.527856,190515061131
26.902551,112.527856,190515061141
26.902551,112.527856,190515061151
26.902551,112.527856,190515061201
26.902551,112.527856,190515061211
26.902551,112.527856,190515061221
26.902551,112.527856,190515061231
26.902551,112.527856,190515061241
26.902551,112.527856,190515061251
26.902551,112.527856,190515061301
26.902551,112.527856,190515061311
26.902551,112.527856,190515061321
26.902551,112.527856,190515061331
26.902551,112.527856,190515061341
26.902551,112.527856,190515061351
26.902551,112.527856,190515061401
26.902551,112.527856,190515061411
26.902551,112.527856,190515061421
26.902551,112.527856,190515061431
26.902551,112.527856,190515061441
26.902551,112.527856,190515061451
26.902551,112.527856,190515061501
26.902551,112.527856,190515061511
26.902551,112.527856,190515061521
26.902551,112.527856,190515061531
26.902551,112.527856,190515061541
26.902551,112.527856,190515061551
26.902551,112.527856,190515061601
26.902551,112.527856,190515061611
26.902551,112.527856,190515061621
26.902551,112.527856,190515061631
26.902551,112.527856,190515061641
26.902551,112.527856,190515061651
26.902551,112.527856,190515061701
26.902551,112.527856,190515061711
26.902551,112.527856,190515061721
26.902551,112.527856,190515061731
26.902551,112.527856,190515061741
26.902551,112.527856,190515061751
26.902551,112.527856,190515061801
26.902551,112.527856,190515061811
26.902551,112.527856,190515061821
26.902551,112.527856,190515061831
26.887324,112.563215,190515064300
26.886271,112.563241,190515064310
26.885073,112.563293,190515064320
26.884013,112.563295,190515064330
26.883089,112.563301,190515064340
26.882582,112.563341,190515064350
26.882557,112.563373,190515064351
26.882552,112.563558,190515064355
26.882651,112.563778,190515064359
26.882997,112.564676,190515064409
26.883404,112.565858,190515064419
26.883636,112.566886,190515064429
26.883808,112.568187,190515064439
26.883884,112.569351,190515064449
26.883963,112.570719,190515064459
26.884049,112.572106,190515064509
26.884164,112.573622,190515064519
26.884244,112.574877,190515064529
26.884336,112.576231,190515064539
26.884426,112.577484,190515064549
26.884543,112.578639,190515064559
26.884674,112.579671,190515064609
26.884819,112.580774,190515064619
26.885028,112.582104,190515064630
26.885246,112.583481,190515064640
26.885456,112.584754,190515064651
26.885638,112.585838,190515064701
26.885834,112.586993,190515064711
26.886036,112.588244,190515064722
26.886258,112.589506,190515064732
26.886456,112.590593,190515064742
26.886676,112.591864,190515064752
26.886899,112.593161,190515064802
26.887039,112.594204,190515064812
26.887093,112.595263,190515064822
26.887073,112.596343,190515064832
26.887056,112.597308,190515064842
26.887016,112.598294,190515064852
26.886993,112.599101,190515064902
26.886969,112.599551,190515064912
26.886974,112.599678,190515064922
26.886936,112.599756,190515064932
26.886931,112.599761,190515064942
26.886929,112.599764,190515064952
26.886863,112.599764,190515065002
26.886789,112.599693,190515065007
26.886771,112.599649,190515065017
26.886766,112.599638,190515065027
26.886749,112.599581,190515065037
26.886754,112.599503,190515065047
26.886751,112.599499,190515065827
26.886751,112.599499,190515065837
26.886751,112.599499,190515065847
26.886751,112.599499,190515065857
26.886751,112.599499,190515065907
26.886751,112.599499,190515065917
