latitude,longitude,generation_time
26.888963,112.633147,2019-05-23T06:59:55.000+08:00
26.888846,112.632139,2019-05-23T07:00:05.000+08:00
26.888748,112.631082,2019-05-23T07:00:15.000+08:00
26.888666,112.630026,2019-05-23T07:00:25.000+08:00
26.888579,112.628994,2019-05-23T07:00:35.000+08:00
26.888464,112.627942,2019-05-23T07:00:45.000+08:00
26.888334,112.626926,2019-05-23T07:00:55.000+08:00
26.888229,112.625952,2019-05-23T07:01:05.000+08:00
26.888244,112.624966,2019-05-23T07:01:15.000+08:00
26.888199,112.623876,2019-05-23T07:01:26.000+08:00
26.888369,112.623329,2019-05-23T07:01:32.000+08:00
26.888714,112.623064,2019-05-23T07:01:37.000+08:00
26.889028,112.623091,2019-05-23T07:01:41.000+08:00
26.889304,112.623361,2019-05-23T07:01:46.000+08:00
26.889348,112.623706,2019-05-23T07:01:50.000+08:00
26.889213,112.624296,2019-05-23T07:01:57.000+08:00
26.888734,112.625217,2019-05-23T07:02:07.000+08:00
26.888543,112.625889,2019-05-23T07:02:17.000+08:00
26.888634,112.626127,2019-05-23T07:02:22.000+08:00
26.888806,112.626129,2019-05-23T07:02:26.000+08:00
26.889478,112.625747,2019-05-23T07:02:36.000+08:00
26.889648,112.625612,2019-05-23T07:02:46.000+08:00
26.889923,112.625434,2019-05-23T07:02:56.000+08:00
26.890786,112.624901,2019-05-23T07:03:06.000+08:00
26.891413,112.624444,2019-05-23T07:03:16.000+08:00
26.891433,112.624391,2019-05-23T07:03:26.000+08:00
26.891733,112.624207,2019-05-23T07:03:36.000+08:00
26.892474,112.623769,2019-05-23T07:03:46.000+08:00
26.893126,112.623326,2019-05-23T07:03:56.000+08:00
26.893804,112.622854,2019-05-23T07:04:06.000+08:00
26.894609,112.622359,2019-05-23T07:04:16.000+08:00
26.894726,112.622267,2019-05-23T07:04:26.000+08:00
26.894789,112.622207,2019-05-23T07:04:36.000+08:00
26.895016,112.622091,2019-05-23T07:04:46.000+08:00
26.895009,112.622104,2019-05-23T07:04:56.000+08:00
26.895014,112.622102,2019-05-23T07:05:06.000+08:00
26.895011,112.622101,2019-05-23T07:05:16.000+08:00
26.895013,112.622099,2019-05-23T07:05:26.000+08:00
26.895293,112.621914,2019-05-23T07:05:36.000+08:00
26.895788,112.621501,2019-05-23T07:05:46.000+08:00
26.895846,112.621417,2019-05-23T07:05:56.000+08:00
26.895924,112.621369,2019-05-23T07:06:06.000+08:00
26.896693,112.620882,2019-05-23T07:06:16.000+08:00
26.897549,112.620244,2019-05-23T07:06:26.000+08:00
26.898383,112.619702,2019-05-23T07:06:36.000+08:00
26.899069,112.619214,2019-05-23T07:06:46.000+08:00
26.899071,112.619169,2019-05-23T07:06:56.000+08:00
26.899258,112.619064,2019-05-23T07:07:06.000+08:00
26.899959,112.618561,2019-05-23T07:07:16.000+08:00
26.900745,112.617969,2019-05-23T07:07:26.000+08:00
26.901148,112.617704,2019-05-23T07:07:36.000+08:00
26.90115,112.617711,2019-05-23T07:07:46.000+08:00
26.90115,112.617714,2019-05-23T07:07:56.000+08:00
26.901405,112.617527,2019-05-23T07:08:06.000+08:00
26.902001,112.617144,2019-05-23T07:08:16.000+08:00
26.902008,112.617146,2019-05-23T07:08:26.000+08:00
26.902005,112.617144,2019-05-23T07:08:37.000+08:00
26.902011,112.617146,2019-05-23T07:08:47.000+08:00
26.902015,112.617147,2019-05-23T07:08:57.000+08:00
26.902013,112.617147,2019-05-23T07:09:07.000+08:00
26.90201,112.617147,2019-05-23T07:09:17.000+08:00
26.902011,112.617146,2019-05-23T07:09:27.000+08:00
26.902076,112.617109,2019-05-23T07:09:37.000+08:00
26.902885,112.616751,2019-05-23T07:09:48.000+08:00
26.903766,112.616413,2019-05-23T07:09:58.000+08:00
26.904286,112.616228,2019-05-23T07:10:08.000+08:00
26.904303,112.616206,2019-05-23T07:10:18.000+08:00
26.904531,112.616081,2019-05-23T07:10:26.000+08:00
26.905315,112.615741,2019-05-23T07:10:36.000+08:00
26.9062,112.615488,2019-05-23T07:10:46.000+08:00
26.90717,112.615676,2019-05-23T07:10:56.000+08:00
26.907576,112.61554,2019-05-23T07:11:01.000+08:00
26.907781,112.615238,2019-05-23T07:11:05.000+08:00
26.907813,112.614853,2019-05-23T07:11:09.000+08:00
26.90759,112.614411,2019-05-23T07:11:14.000+08:00
26.907028,112.613745,2019-05-23T07:11:24.000+08:00
26.906966,112.612915,2019-05-23T07:11:34.000+08:00
26.906943,112.611923,2019-05-23T07:11:44.000+08:00
26.906945,112.610906,2019-05-23T07:11:54.000+08:00
26.906938,112.609873,2019-05-23T07:12:04.000+08:00
26.906923,112.608776,2019-05-23T07:12:14.000+08:00
26.906918,112.60774,2019-05-23T07:12:24.000+08:00
26.906905,112.606678,2019-05-23T07:12:34.000+08:00
26.906896,112.60576,2019-05-23T07:12:44.000+08:00
26.906905,112.604671,2019-05-23T07:12:54.000+08:00
26.906898,112.603721,2019-05-23T07:13:04.000+08:00
26.906906,112.603661,2019-05-23T07:13:14.000+08:00
26.906905,112.603656,2019-05-23T07:13:24.000+08:00
26.906908,112.603653,2019-05-23T07:13:34.000+08:00
26.906911,112.603598,2019-05-23T07:13:44.000+08:00
26.906943,112.603408,2019-05-23T07:13:54.000+08:00
26.90695,112.603398,2019-05-23T07:14:04.000+08:00
26.906948,112.603398,2019-05-23T07:14:14.000+08:00
26.906936,112.603285,2019-05-23T07:14:24.000+08:00
26.906828,112.60304,2019-05-23T07:14:29.000+08:00
26.906648,112.603078,2019-05-23T07:14:35.000+08:00
26.906308,112.603155,2019-05-23T07:14:39.000+08:00
26.905575,112.60328,2019-05-23T07:14:49.000+08:00
26.905458,112.603291,2019-05-23T07:14:59.000+08:00
26.9054,112.603345,2019-05-23T07:15:10.000+08:00
26.905336,112.60339,2019-05-23T07:15:21.000+08:00
26.905211,112.603466,2019-05-23T07:15:31.000+08:00
26.904265,112.603515,2019-05-23T07:15:41.000+08:00
26.903628,112.603561,2019-05-23T07:15:51.000+08:00
26.903611,112.603558,2019-05-23T07:16:01.000+08:00
26.903583,112.603575,2019-05-23T07:16:11.000+08:00
26.903103,112.603576,2019-05-23T07:16:17.000+08:00
26.902426,112.60366,2019-05-23T07:16:27.000+08:00
26.901415,112.603748,2019-05-23T07:16:37.000+08:00
26.900761,112.603798,2019-05-23T07:16:47.000+08:00
26.900543,112.603868,2019-05-23T07:16:57.000+08:00
26.900303,112.603836,2019-05-23T07:17:07.000+08:00
26.899988,112.603833,2019-05-23T07:17:17.000+08:00
26.899279,112.603905,2019-05-23T07:17:27.000+08:00
26.898396,112.603916,2019-05-23T07:17:37.000+08:00
26.897846,112.60389,2019-05-23T07:17:47.000+08:00
26.897738,112.60381,2019-05-23T07:17:51.000+08:00
26.897683,112.603511,2019-05-23T07:17:56.000+08:00
26.897706,112.602651,2019-05-23T07:18:06.000+08:00
26.897561,112.602403,2019-05-23T07:18:10.000+08:00
26.896821,112.601906,2019-05-23T07:18:20.000+08:00
26.896038,112.601473,2019-05-23T07:18:30.000+08:00
26.895359,112.601175,2019-05-23T07:18:40.000+08:00
26.894811,112.600916,2019-05-23T07:18:50.000+08:00
26.894234,112.60056,2019-05-23T07:18:58.000+08:00
26.893433,112.599878,2019-05-23T07:19:08.000+08:00
26.892928,112.599576,2019-05-23T07:19:15.000+08:00
26.892691,112.599383,2019-05-23T07:19:21.000+08:00
26.892738,112.599284,2019-05-23T07:19:24.000+08:00
26.893163,112.599034,2019-05-23T07:19:33.000+08:00
26.893691,112.598834,2019-05-23T07:19:43.000+08:00
26.893884,112.598696,2019-05-23T07:19:47.000+08:00
26.894013,112.598579,2019-05-23T07:19:57.000+08:00
26.894691,112.598103,2019-05-23T07:20:07.000+08:00
26.895221,112.597686,2019-05-23T07:20:17.000+08:00
26.895434,112.597529,2019-05-23T07:20:27.000+08:00
26.895539,112.597424,2019-05-23T07:20:32.000+08:00
26.895628,112.597238,2019-05-23T07:20:43.000+08:00
26.895961,112.596303,2019-05-23T07:20:53.000+08:00
26.896218,112.595576,2019-05-23T07:21:03.000+08:00
26.896419,112.594749,2019-05-23T07:21:13.000+08:00
26.896559,112.593913,2019-05-23T07:21:23.000+08:00
26.896758,112.593136,2019-05-23T07:21:33.000+08:00
26.896949,112.592529,2019-05-23T07:21:43.000+08:00
26.896746,112.591886,2019-05-23T07:21:53.000+08:00
26.896571,112.591683,2019-05-23T07:21:58.000+08:00
26.896533,112.591656,2019-05-23T07:22:08.000+08:00
26.896369,112.591528,2019-05-23T07:22:18.000+08:00
26.896093,112.591499,2019-05-23T07:22:23.000+08:00
26.895313,112.591536,2019-05-23T07:22:33.000+08:00
26.894853,112.591454,2019-05-23T07:22:41.000+08:00
26.894766,112.591374,2019-05-23T07:22:52.000+08:00
26.894669,112.591221,2019-05-23T07:23:02.000+08:00
26.893953,112.590531,2019-05-23T07:23:12.000+08:00
26.893526,112.589891,2019-05-23T07:23:22.000+08:00
26.893219,112.589773,2019-05-23T07:23:26.000+08:00
