latitude,longitude
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
28.24812,112.883128
