"Latitude","Longitude"
26.895634,112.545903
26.895634,112.545903
26.895634,112.545903
26.895634,112.545903
26.895634,112.545903
26.895634,112.545903
26.895634,112.545903
26.895634,112.545903
26.895696,112.545734
26.895696,112.545734
26.895696,112.545734
26.895696,112.545734
26.895696,112.545734
26.895696,112.545734
26.895696,112.545734
26.895696,112.545734
26.895696,112.545734
26.895696,112.545734
26.895696,112.545734
26.895696,112.545734
26.895696,112.545734
26.895696,112.545734
26.895696,112.545734
26.895696,112.545734
26.895696,112.545734
26.895696,112.545734
26.895696,112.545734
26.895696,112.545734
26.895696,112.545734
26.895696,112.545734
26.895696,112.545734
26.895696,112.545734
26.895696,112.545734
26.895696,112.545734
26.895696,112.545734
26.895696,112.545734
26.895696,112.545734
26.895696,112.545734
26.895696,112.545734
26.894623,112.544506
26.894689,112.543719
26.894688,112.543383
26.894664,112.542523
26.894664,112.541729
26.894776,112.541438
26.894996,112.541421
26.895741,112.541426
26.896113,112.541436
26.896381,112.541441
26.896609,112.541336
26.896696,112.541139
26.896853,112.540446
26.897244,112.539508
26.897671,112.538478
26.898028,112.537566
26.898443,112.536548
26.898886,112.535484
26.899314,112.534448
26.899788,112.533336
26.90027,112.532157
26.900776,112.530937
26.90126,112.529787
26.901688,112.528754
26.902088,112.527807
26.902201,112.527632
26.902298,112.527629
26.902453,112.527719
26.902565,112.527811
26.902565,112.527812
26.902566,112.527809
26.902566,112.527809
26.902566,112.527811
26.90255,112.527809
26.902558,112.527811
26.902565,112.527817
26.902558,112.527837
26.902551,112.527856
26.902551,112.527856
26.902551,112.527856
26.902551,112.527856
26.902551,112.527856
26.902551,112.527856
26.902551,112.527856
26.902551,112.527856
26.902551,112.527856
26.902551,112.527856
26.902551,112.527856
26.902551,112.527856
26.902551,112.527856
26.902551,112.527856
26.902551,112.527856
26.902551,112.527856
26.902551,112.527856
26.902551,112.527856
26.902551,112.527856
26.902551,112.527856
26.902551,112.527856
26.902551,112.527856
26.902551,112.527856
26.902551,112.527856
26.902551,112.527856
26.902551,112.527856
26.902551,112.527856
26.902551,112.527856
26.902551,112.527856
26.902551,112.527856
26.902551,112.527856
26.902551,112.527856
26.902551,112.527856
26.902551,112.527856
26.902551,112.527856
26.902551,112.527856
26.902551,112.527856
26.902551,112.527856
26.902551,112.527856
26.902551,112.527856
26.902551,112.527856
26.902551,112.527856
26.902551,112.527856
26.902551,112.527856
26.902551,112.527856
26.902551,112.527856
26.902551,112.527856
26.902551,112.527856
26.902551,112.527856
26.902551,112.527856
26.902551,112.527856
26.902551,112.527856
26.902551,112.527856
26.902551,112.527856
26.902551,112.527856
26.902551,112.527856
26.902551,112.527856
26.902551,112.527856
26.902551,112.527856
26.902551,112.527856
26.902551,112.527856
26.902551,112.527856
26.902551,112.527856
26.902551,112.527856
26.902551,112.527856
26.902551,112.527856
26.902551,112.527856
26.902551,112.527856
26.902551,112.527856
26.902551,112.527856
26.902551,112.527856
26.902551,112.527856
26.902551,112.527856
26.902551,112.527856
26.902551,112.527856
26.902551,112.527856
26.902551,112.527856
26.887324,112.563215
26.886271,112.563241
26.885073,112.563293
26.884013,112.563295
26.883089,112.563301
26.882582,112.563341
26.882557,112.563373
26.882552,112.563558
26.882651,112.563778
26.882997,112.564676
26.883404,112.565858
26.883636,112.566886
26.883808,112.568187
26.883884,112.569351
26.883963,112.570719
26.884049,112.572106
26.884164,112.573622
26.884244,112.574877
26.884336,112.576231
26.884426,112.577484
26.884543,112.578639
26.884674,112.579671
26.884819,112.580774
26.885028,112.582104
26.885246,112.583481
26.885456,112.584754
26.885638,112.585838
26.885834,112.586993
26.886036,112.588244
26.886258,112.589506
26.886456,112.590593
26.886676,112.591864
26.886899,112.593161
26.887039,112.594204
26.887093,112.595263
26.887073,112.596343
26.887056,112.597308
26.887016,112.598294
26.886993,112.599101
26.886969,112.599551
26.886974,112.599678
26.886936,112.599756
26.886931,112.599761
26.886929,112.599764
26.886863,112.599764
26.886789,112.599693
26.886771,112.599649
26.886766,112.599638
26.886749,112.599581
26.886754,112.599503
26.886751,112.599499
26.886751,112.599499
26.886751,112.599499
26.886751,112.599499
26.886751,112.599499
26.886751,112.599499
26.886751,112.599499
26.886751,112.599499
26.886751,112.599499
26.886751,112.599499
26.886751,112.599499
26.886751,112.599499
26.886751,112.599499
26.886751,112.599499
26.886751,112.599499
26.886751,112.599499
26.886751,112.599499
26.886751,112.599499
26.886404,112.60035
26.886406,112.600355
26.886406,112.600356
26.886408,112.600355
26.886406,112.600356
26.886406,112.600356
26.886628,112.600393
26.887056,112.600385
26.887516,112.600181
26.887831,112.599981
26.888534,112.599688
26.888816,112.599548
26.888819,112.599546
26.888819,112.599548
26.888821,112.599548
26.888823,112.599549
26.888823,112.599548
26.888821,112.599544
26.888819,112.599546
26.888823,112.599546
26.889068,112.599433
26.889658,112.599139
26.890324,112.598824
26.890701,112.598751
26.890821,112.598839
26.890919,112.598944
26.891049,112.599083
26.891064,112.599098
26.891064,112.599099
26.891066,112.599101
26.891064,112.599099
26.891066,112.599091
26.891063,112.599096
26.891066,112.599098
26.901341,112.617591
26.901513,112.617454
26.901971,112.617132
26.901995,112.617104
26.901995,112.617099
26.901988,112.617102
26.901995,112.617104
26.901998,112.617101
26.901996,112.617099
26.901995,112.617102
26.90199,112.617102
26.902045,112.617049
26.902341,112.616929
26.90311,112.616631
26.903883,112.616361
26.904401,112.616178
26.905026,112.616008
26.905685,112.615743
26.905975,112.615731
26.906833,112.615923
26.907106,112.616218
26.907351,112.616894
26.907291,112.617206
26.907406,112.617681
26.90762,112.617956
26.907998,112.618591
26.9084,112.619612
26.908735,112.620494
26.909178,112.621499
26.909515,112.621901
26.909585,112.621702
26.909455,112.621424
26.909095,112.620551
26.908781,112.619811
26.908305,112.618874
26.908005,112.617981
26.908026,112.617929
26.908165,112.617862
26.908425,112.617912
26.908985,112.618071
26.909008,112.618077
26.90929,112.618157
26.90966,112.618262
26.909855,112.618336
26.910095,112.618432
26.91078,112.618569
26.91118,112.618671
26.91126,112.618719
26.911261,112.618736
26.911263,112.618737
26.911265,112.618744
26.911266,112.618747
26.911311,112.618867
26.911446,112.619486
26.911675,112.620107
26.911976,112.620622
26.912183,112.621032
26.912303,112.621244
26.912396,112.621384
26.912651,112.621787
26.91293,112.622387
26.913223,112.623209
26.913355,112.623579
26.913496,112.623706
26.913578,112.623697
26.913713,112.623671
26.91381,112.623716
26.914001,112.623837
26.91424,112.624052
26.914348,112.624144
26.914363,112.624161
26.914358,112.624156
26.914363,112.624161
26.91436,112.624152
26.914356,112.624154
26.91436,112.624156
26.914358,112.624156
26.914358,112.624159
26.914361,112.624157
26.91436,112.624154
26.914363,112.624152
26.914363,112.624152
26.914363,112.624152
26.914363,112.624152
26.914363,112.624152
26.914363,112.624152
26.914363,112.624152
26.914363,112.624152
26.914363,112.624152
26.914363,112.624152
26.914363,112.624152
26.915526,112.624574
26.915521,112.624567
26.915503,112.624551
26.915515,112.624556
26.915518,112.624559
26.915518,112.624561
26.915516,112.624559
26.915498,112.624567
26.915273,112.624507
26.914741,112.624297
26.91454,112.624224
26.914486,112.624169
26.914471,112.624146
26.914471,112.624146
26.914116,112.623842
26.91348,112.623684
26.9133,112.623462
26.91318,112.622906
26.913123,112.622709
26.91308,112.622604
26.91293,112.622371
26.912678,112.621834
26.912606,112.621637
26.912591,112.621476
26.912561,112.621412
26.912316,112.621087
26.912188,112.620867
26.911943,112.620526
26.91165,112.620116
26.911475,112.619767
26.911348,112.619277
26.91127,112.618919
26.91127,112.618872
26.911273,112.618879
26.911273,112.618882
26.911273,112.618882
26.888348,112.607861
26.888554,112.607791
26.888556,112.607791
26.888658,112.607738
26.889304,112.607528
26.890039,112.6073
26.890276,112.607123
26.890729,112.606998
26.891398,112.606805
26.891506,112.606775
26.891546,112.606775
26.892078,112.606565
26.892626,112.606348
26.892989,112.606338
26.893479,112.606181
26.893506,112.606166
26.893518,112.606166
26.893974,112.606121
26.894206,112.606038
26.894276,112.60605
26.894353,112.606026
26.895029,112.605713
26.895333,112.605548
26.895681,112.605403
26.896189,112.605015
26.896333,112.604848
26.896383,112.604715
26.896378,112.604713
26.896381,112.604718
26.896383,112.604716
26.896383,112.604718
26.896383,112.604713
26.896383,112.604715
26.896383,112.604716
26.896379,112.604718
26.896374,112.604718
26.896378,112.604718
26.896378,112.604718
26.896378,112.604718
26.896378,112.604718
26.896378,112.604718
26.896378,112.604718
26.896378,112.604718
26.896378,112.604718
26.896378,112.604718
26.896378,112.604718
26.896378,112.604718
26.896378,112.604718
26.896378,112.604718
26.896979,112.602215
26.896459,112.60181
26.895938,112.601536
26.895441,112.601293
26.894998,112.601066
26.894994,112.601066
26.894768,112.60099
26.894229,112.600668
26.893671,112.600146
26.893018,112.599663
26.892656,112.599396
26.892553,112.599281
26.892533,112.599353
26.892658,112.599454
26.893364,112.599841
26.893999,112.600381
26.894669,112.600908
26.895119,112.601176
26.895198,112.601218
26.895198,112.601218
26.895198,112.601221
26.895199,112.60122
26.895198,112.60122
26.895203,112.601223
26.895199,112.601223
26.895201,112.601221
26.895199,112.60122
26.895201,112.601223
26.890309,112.607081
26.889743,112.607233
26.889403,112.60733
26.889333,112.607355
26.889244,112.607393
26.889184,112.607418
26.888579,112.607631
26.887823,112.607881
26.887663,112.607946
26.887663,112.607943
26.887664,112.60794
26.887661,112.607941
26.887661,112.607945
26.887661,112.607943
26.887661,112.607945
26.887501,112.607983
26.887496,112.607981
26.887496,112.607981
26.887413,112.608045
26.887363,112.608271
26.887356,112.608321
26.887278,112.610098
26.887138,112.611228
26.887138,112.612483
26.887214,112.613521
26.887281,112.614401
26.887346,112.615376
26.887431,112.616518
26.887501,112.617552
26.887463,112.618302
26.887281,112.618676
26.886878,112.619016
26.886436,112.619066
26.886069,112.618921
26.885771,112.618592
26.885588,112.618021
26.885563,112.617482
26.885659,112.617351
26.885824,112.617299
26.886351,112.617141
26.886973,112.616962
26.887578,112.616806
26.888334,112.616714
26.889056,112.616696
26.889988,112.616679
26.890743,112.616676
26.891493,112.616655
26.892171,112.616563
26.892898,112.616393
26.892976,112.616308
26.892999,112.61631
26.893393,112.616181
26.893958,112.615991
26.894288,112.615971
26.894384,112.616276
26.894424,112.616423
26.894464,112.616826
26.894509,112.617324
26.894496,112.617609
26.894513,112.617871
26.894613,112.618436
26.894858,112.619166
26.894934,112.619489
26.894948,112.619504
26.894944,112.619526
26.894963,112.619622
26.894989,112.620029
26.895416,112.620774
26.895511,112.621104
26.895616,112.621324
26.895684,112.621416
26.895796,112.621406
26.895943,112.621236
