latitude,longitude,generation_time
26.892678,112.624821,2019-05-23T06:41:05.000+08:00
26.892901,112.625002,2019-05-23T06:41:12.000+08:00
26.892974,112.624879,2019-05-23T06:41:15.000+08:00
26.892928,112.624716,2019-05-23T06:41:18.000+08:00
26.892811,112.624466,2019-05-23T06:41:28.000+08:00
26.892813,112.624466,2019-05-23T06:41:38.000+08:00
26.892814,112.624482,2019-05-23T06:41:49.000+08:00
26.892808,112.624481,2019-05-23T06:41:59.000+08:00
26.892814,112.624489,2019-05-23T06:42:09.000+08:00
26.892811,112.624479,2019-05-23T06:42:19.000+08:00
26.892728,112.624441,2019-05-23T06:42:29.000+08:00
26.892603,112.624241,2019-05-23T06:42:35.000+08:00
26.892373,112.623847,2019-05-23T06:42:45.000+08:00
26.892434,112.623699,2019-05-23T06:42:48.000+08:00
26.892578,112.623382,2019-05-23T06:42:56.000+08:00
26.892479,112.623187,2019-05-23T06:43:01.000+08:00
26.892073,112.622416,2019-05-23T06:43:11.000+08:00
26.891963,112.622261,2019-05-23T06:43:21.000+08:00
26.891724,112.621952,2019-05-23T06:43:31.000+08:00
26.891339,112.621117,2019-05-23T06:43:41.000+08:00
26.890869,112.620571,2019-05-23T06:43:50.000+08:00
26.889986,112.620051,2019-05-23T06:44:00.000+08:00
26.889039,112.619451,2019-05-23T06:44:10.000+08:00
26.888146,112.618812,2019-05-23T06:44:20.000+08:00
26.887689,112.618291,2019-05-23T06:44:27.000+08:00
26.887583,112.617811,2019-05-23T06:44:33.000+08:00
26.887474,112.616586,2019-05-23T06:44:43.000+08:00
26.887363,112.615063,2019-05-23T06:44:53.000+08:00
26.887253,112.613456,2019-05-23T06:45:03.000+08:00
26.887163,112.612043,2019-05-23T06:45:13.000+08:00
26.887258,112.610646,2019-05-23T06:45:23.000+08:00
26.887448,112.609396,2019-05-23T06:45:33.000+08:00
26.887454,112.608498,2019-05-23T06:45:43.000+08:00
26.887513,112.608186,2019-05-23T06:45:50.000+08:00
26.887651,112.60807,2019-05-23T06:45:55.000+08:00
26.888189,112.607846,2019-05-23T06:46:05.000+08:00
